question_text,summary,example,constraints,leetcode_link,title,category,solution
"Given the root of a binary tree, return the average value of the nodes on each level in the form of an array. Answers within 10^-5 of the actual answer will be accepted.",Average of binary tree levels,"Input: root = [3,9,20,null,null,15,7] Output: [3.00000,14.50000,11.00000]","The number of nodes in the tree is in the range [1, 10^4]. -2^31 <= Node.val <= 2^31 - 1",https://leetcode.com/problems/Average-of-Levels-in-Binary-Tree/,Average of Levels in Binary Tree,Binary Tree - BFS,"['from __future__ import annotations\nfrom typing import Optional\nfrom collections import deque', 'class TreeNode:\n    def __init__(\n        self,\n        val: Optional[int] = 0,\n        left: Optional[""TreeNode""] = None,\n        right: Optional[""TreeNode""] = None,\n    ):\n        self.val = val\n        self.left = left\n        self.right = right\n\n    @staticmethod\n    def from_list(values: list[Optional[int]]) -> Optional[""TreeNode""]:\n        if not values:\n            return None\n\n        root = TreeNode(val=values[0])\n        queue: deque[TreeNode] = deque([root])\n        i = 1\n\n        while queue and i < len(values):\n            current_node = queue.popleft()\n\n            if values[i] is not None:\n                current_node.left = TreeNode(val=values[i])\n                queue.append(current_node.left)\n            i += 1\n\n            if i < len(values) and values[i] is not None:\n                current_node.right = TreeNode(val=values[i])\n                queue.append(current_node.right)\n            i += 1\n\n        return root\n\n    def print_level_order(self) -> list[list[Optional[int]]]:\n        queue: deque[tuple[TreeNode, int]] = deque([(self, 0)])\n        result = []\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            if node_level > level_number:\n                result.append(current_level)\n                current_level = []\n                level_number = node_level\n\n            current_level.append(current_node.val)\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        if current_level:\n            result.append(current_level)\n\n        return result', 'class Solution:\n    def averageOfLevels(self, root: Optional[TreeNode]) -> list[float]:\n        if not root:\n            return []\n\n        queue: deque[tuple[TreeNode, int]] = deque([(root, 0)])\n        result = []\n\n        while queue:\n            current_sum: int = 0\n            current_count = 0\n            current_level = queue[0][1]\n\n            while queue and queue[0][1] == current_level:\n                current_node, node_level = queue.popleft()\n                if current_node.val is not None:\n                    current_sum += current_node.val\n                    current_count += 1\n\n                if current_node.left:\n                    queue.append((current_node.left, node_level + 1))\n                if current_node.right:\n                    queue.append((current_node.right, node_level + 1))\n\n            result.append(current_sum / current_count)\n\n        return result', '# Test\ns = Solution()\n\nroot = TreeNode.from_list([3, 9, 20, None, None, 15, 7])\nprint(s.averageOfLevels(root))  # [3.0, 14.5, 11.0]\n\nroot = TreeNode.from_list([3, 9, 20, 15, 7])\nprint(s.averageOfLevels(root))  # [3.0, 14.5, 11.0]']"
"Given the root of a binary tree, return the level order traversal of its nodes' values from left to right, level by level.",Binary Tree Level Order Traversal,"Input: root = [3,9,20,null,null,15,7] Output: [[3],[9,20],[15,7]]","The number of nodes in the tree is in the range [0, 2000]. -1000 <= Node.val <= 1000",https://leetcode.com/problems/Binary-Tree-Level-Order-Traversal/,Binary Tree Level Order Traversal,Binary Tree - BFS,"['from __future__ import annotations\nfrom typing import Optional\nfrom collections import deque', 'class TreeNode:\n    def __init__(\n        self,\n        val: Optional[int] = 0,\n        left: Optional[""TreeNode""] = None,\n        right: Optional[""TreeNode""] = None,\n    ):\n        self.val = val\n        self.left = left\n        self.right = right\n\n    @staticmethod\n    def from_list(values: list[Optional[int]]) -> Optional[""TreeNode""]:\n        if not values:\n            return None\n\n        root = TreeNode(val=values[0])\n        queue: deque[TreeNode] = deque([root])\n        i = 1\n\n        while queue and i < len(values):\n            current_node = queue.popleft()\n\n            if values[i] is not None:\n                current_node.left = TreeNode(val=values[i])\n                queue.append(current_node.left)\n            i += 1\n\n            if i < len(values) and values[i] is not None:\n                current_node.right = TreeNode(val=values[i])\n                queue.append(current_node.right)\n            i += 1\n\n        return root\n\n    def print_level_order(self) -> list[list[Optional[int]]]:\n        queue: deque[tuple[TreeNode, int]] = deque([(self, 0)])\n        result = []\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            if node_level > level_number:\n                result.append(current_level)\n                current_level = []\n                level_number = node_level\n\n            current_level.append(current_node.val)\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        if current_level:\n            result.append(current_level)\n\n        return result', 'class Solution:\n    def levelOrder(self, root: Optional[TreeNode]) -> list[list[int]]:\n        if root is None:\n            return []\n\n        result = []\n        queue: deque[tuple[TreeNode, int]] = deque([(root, 0)])\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            # if we moved to the next level\n            if node_level > level_number:\n                # add the current level to the result\n                result.append(current_level)\n                # reset the current level\n                current_level = []\n                # update the level number\n                level_number = node_level\n\n            # add the current node to the current level\n            current_level.append(current_node.val)\n\n            # add the children to the queue\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        # add the last level to the result\n        if current_level:\n            result.append(current_level)\n\n        return result', '# Test\ns = Solution()\n\nassert s.levelOrder(TreeNode.from_list([3, 9, 20, None, None, 15, 7])) == [\n    [3],\n    [9, 20],\n    [15, 7],\n]\nassert s.levelOrder(TreeNode.from_list([1])) == [[1]]\nassert s.levelOrder(None) == []']"
"Given the root of a binary tree, return the zigzag level order traversal of its nodes' values.",Zigzag level order traversal,"Input: root = [3,9,20,null,null,15,7] Output: [[3],[20,9],[15,7]]","The number of nodes in the tree is in the range [0, 2000]. -100 <= Node.val <= 100",https://leetcode.com/problems/Binary-Tree-Zigzag-Level-Order-Traversal/,Binary Tree Zigzag Level Order Traversal,Binary Tree - BFS,"['from __future__ import annotations\nfrom typing import Optional\nfrom collections import deque', 'class TreeNode:\n    def __init__(\n        self,\n        val: Optional[int] = 0,\n        left: Optional[""TreeNode""] = None,\n        right: Optional[""TreeNode""] = None,\n    ):\n        self.val = val\n        self.left = left\n        self.right = right\n\n    @staticmethod\n    def from_list(values: list[Optional[int]]) -> Optional[""TreeNode""]:\n        if not values:\n            return None\n\n        root = TreeNode(val=values[0])\n        queue: deque[TreeNode] = deque([root])\n        i = 1\n\n        while queue and i < len(values):\n            current_node = queue.popleft()\n\n            if values[i] is not None:\n                current_node.left = TreeNode(val=values[i])\n                queue.append(current_node.left)\n            i += 1\n\n            if i < len(values) and values[i] is not None:\n                current_node.right = TreeNode(val=values[i])\n                queue.append(current_node.right)\n            i += 1\n\n        return root\n\n    def print_level_order(self) -> list[list[Optional[int]]]:\n        queue: deque[tuple[TreeNode, int]] = deque([(self, 0)])\n        result = []\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            if node_level > level_number:\n                result.append(current_level)\n                current_level = []\n                level_number = node_level\n\n            current_level.append(current_node.val)\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        if current_level:\n            result.append(current_level)\n\n        return result', ""class Solution:\n    # Time complexity: O(n) - Space complexity: O(n)\n    def zigzagLevelOrder(self, root: Optional[TreeNode]) -> list[list[int]]:\n        # Base case: if the tree is empty, return an empty list.\n        if not root:\n            return []\n        \n        result = []\n        queue = deque([root])  # Use a deque to facilitate O(1) popleft operations.\n        \n        left_to_right = True\n        while queue:\n            level_size = len(queue)\n            current_level = []\n            \n            for _ in range(level_size):\n                # If traversing left to right, pop from the left of the queue.\n                if left_to_right:\n                    current_node = queue.popleft()\n                    # Append children of the current node to the right end of the queue.\n                    if current_node.left:\n                        queue.append(current_node.left)\n                    if current_node.right:\n                        queue.append(current_node.right)\n                # If traversing right to left, pop from the right of the queue.\n                else:\n                    current_node = queue.pop()\n                    # Append children of the current node to the left end of the queue.\n                    if current_node.right:\n                        queue.appendleft(current_node.right)\n                    if current_node.left:\n                        queue.appendleft(current_node.left)\n                \n                # Add the current node's value to the current level's list.\n                current_level.append(current_node.val)\n                \n            result.append(current_level)\n            left_to_right = not left_to_right\n        \n        return result"", '# Test\n\nsolution = Solution()\n\nroot = TreeNode.from_list([3, 9, 20, None, None, 15, 7])\nprint(solution.zigzagLevelOrder(root))  # Expected: [[3],[20,9],[15,7]]\n\nroot = TreeNode.from_list([1])\nprint(solution.zigzagLevelOrder(root))  # Expected: [[1]]\n\nroot = TreeNode.from_list([])\nprint(solution.zigzagLevelOrder(root))  # Expected: []']"
"Given the root of a Binary Search Tree (BST), return the minimum absolute difference between the values of any two different nodes in the tree.",Minimum absolute difference in BST,"Input: root = [4,2,6,1,3] Output: 1; Input: root = [1,0,48,null,null,12,49] Output: 1","The number of nodes in the tree is in the range [2, 10^4]. 0 <= Node.val <= 10^5",https://leetcode.com/problems/Minimum-Absolute-Difference-in-BST/,Minimum Absolute Difference in BST,Binary Tree - BFS,"['from __future__ import annotations\nfrom typing import Optional\nfrom collections import deque', 'class TreeNode:\n    def __init__(\n        self,\n        val: Optional[int] = 0,\n        left: Optional[""TreeNode""] = None,\n        right: Optional[""TreeNode""] = None,\n    ):\n        self.val = val\n        self.left = left\n        self.right = right\n\n    @staticmethod\n    def from_list(values: list[Optional[int]]) -> Optional[""TreeNode""]:\n        if not values:\n            return None\n\n        root = TreeNode(val=values[0])\n        queue: deque[TreeNode] = deque([root])\n        i = 1\n\n        while queue and i < len(values):\n            current_node = queue.popleft()\n\n            if values[i] is not None:\n                current_node.left = TreeNode(val=values[i])\n                queue.append(current_node.left)\n            i += 1\n\n            if i < len(values) and values[i] is not None:\n                current_node.right = TreeNode(val=values[i])\n                queue.append(current_node.right)\n            i += 1\n\n        return root\n\n    def print_level_order(self) -> list[list[Optional[int]]]:\n        queue: deque[tuple[TreeNode, int]] = deque([(self, 0)])\n        result = []\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            if node_level > level_number:\n                result.append(current_level)\n                current_level = []\n                level_number = node_level\n\n            current_level.append(current_node.val)\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        if current_level:\n            result.append(current_level)\n\n        return result', 'class Solution:\n    def getMinimumDifference(self, root: Optional[TreeNode]) -> int:\n        self.min_diff = float(""inf"")\n        self.prev: Optional[TreeNode] = None\n\n        def inorder(node: Optional[TreeNode]) -> None:\n            if node is None:\n                return\n\n            # traverse left\n            inorder(node.left)\n\n            # process current node\n            if (\n                self.prev is not None\n                and node.val is not None\n                and self.prev.val is not None\n            ):\n                self.min_diff = min(self.min_diff, node.val - self.prev.val)\n            self.prev = node\n\n            # traverse right\n            inorder(node.right)\n\n        inorder(root)\n        return int(self.min_diff)', '# Test\n\ns = Solution()\n\nroot = TreeNode.from_list([4, 2, 6, 1, 3])\nprint(s.getMinimumDifference(root))  # 1\n\nroot = TreeNode.from_list([1, 0, 48, None, None, 12, 49])\nprint(s.getMinimumDifference(root))  # 1']"
"Given the root of a binary search tree and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree.",Kth smallest in BST,"Input: root = [3,1,4,null,2], k = 1; Output: 1. Input: root = [5,3,6,2,4,null,null,1], k = 3; Output: 3.",1 <= k <= n <= 10^4; 0 <= Node.val <= 10^4.,https://leetcode.com/problems/Kth-Smallest-Element-in-BST/,Kth Smallest Element in BST,Binary Tree - BFS,"['from __future__ import annotations\nfrom typing import Optional\nfrom collections import deque', 'class TreeNode:\n    def __init__(\n        self,\n        val: Optional[int] = 0,\n        left: Optional[""TreeNode""] = None,\n        right: Optional[""TreeNode""] = None,\n    ):\n        self.val = val\n        self.left = left\n        self.right = right\n\n    @staticmethod\n    def from_list(values: list[Optional[int]]) -> Optional[""TreeNode""]:\n        if not values:\n            return None\n\n        root = TreeNode(val=values[0])\n        queue: deque[TreeNode] = deque([root])\n        i = 1\n\n        while queue and i < len(values):\n            current_node = queue.popleft()\n\n            if values[i] is not None:\n                current_node.left = TreeNode(val=values[i])\n                queue.append(current_node.left)\n            i += 1\n\n            if i < len(values) and values[i] is not None:\n                current_node.right = TreeNode(val=values[i])\n                queue.append(current_node.right)\n            i += 1\n\n        return root\n\n    def print_level_order(self) -> list[list[Optional[int]]]:\n        queue: deque[tuple[TreeNode, int]] = deque([(self, 0)])\n        result = []\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            if node_level > level_number:\n                result.append(current_level)\n                current_level = []\n                level_number = node_level\n\n            current_level.append(current_node.val)\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        if current_level:\n            result.append(current_level)\n\n        return result', 'class Solution:\n    def kthSmallest(self, root: Optional[TreeNode], k: int):\n        def inorder_traversal(node: Optional[TreeNode]):\n            if node is not None:\n                yield from inorder_traversal(node.left)\n                yield node.val\n                yield from inorder_traversal(node.right)\n\n        # generate inorder sequence and get the kth element\n        inorder = inorder_traversal(root)\n\n        for _ in range(k):\n            result = next(inorder)\n\n        return result', '# Test\n\ns = Solution()\nroot = TreeNode.from_list([3, 1, 4, None, 2])\nprint(s.kthSmallest(root, 1))  # 1\n\nroot = TreeNode.from_list([5, 3, 6, 2, 4, None, None, 1])\nprint(s.kthSmallest(root, 3))  # 3']"
"Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined by the properties of its nodes and their subtrees.",Validate Binary Search Tree,"Input: root = [2,1,3] Output: true; Input: root = [5,1,4,null,null,3,6] Output: false","The number of nodes in the tree is in the range [1, 10^4]. -2^31 <= Node.val <= 2^31 - 1",https://leetcode.com/problems/Validate-Binary-Search-Tree/,Validate Binary Search Tree,Binary Tree - BFS,"['from __future__ import annotations\nfrom typing import Optional\nfrom collections import deque', 'class TreeNode:\n    def __init__(\n        self,\n        val: Optional[int] = 0,\n        left: Optional[""TreeNode""] = None,\n        right: Optional[""TreeNode""] = None,\n    ):\n        self.val = val\n        self.left = left\n        self.right = right\n\n    @staticmethod\n    def from_list(values: list[Optional[int]]) -> Optional[""TreeNode""]:\n        if not values:\n            return None\n\n        root = TreeNode(val=values[0])\n        queue: deque[TreeNode] = deque([root])\n        i = 1\n\n        while queue and i < len(values):\n            current_node = queue.popleft()\n\n            if values[i] is not None:\n                current_node.left = TreeNode(val=values[i])\n                queue.append(current_node.left)\n            i += 1\n\n            if i < len(values) and values[i] is not None:\n                current_node.right = TreeNode(val=values[i])\n                queue.append(current_node.right)\n            i += 1\n\n        return root\n\n    def print_level_order(self) -> list[list[Optional[int]]]:\n        queue: deque[tuple[TreeNode, int]] = deque([(self, 0)])\n        result = []\n        current_level = []\n        level_number = 0\n\n        while queue:\n            current_node, node_level = queue.popleft()\n\n            if node_level > level_number:\n                result.append(current_level)\n                current_level = []\n                level_number = node_level\n\n            current_level.append(current_node.val)\n            if current_node.left is not None:\n                queue.append((current_node.left, node_level + 1))\n            if current_node.right is not None:\n                queue.append((current_node.right, node_level + 1))\n\n        if current_level:\n            result.append(current_level)\n\n        return result', 'class Solution:\n    def isValidBST(self, root: Optional[TreeNode]) -> bool:\n        def validate(\n            node: Optional[TreeNode], low=-float(""inf""), high=float(""inf"")\n        ) -> bool:\n            if not node:\n                return True\n\n            # The current node\'s value must be between low and high\n            if (node.val is not None) and not (low < node.val < high):\n                return False\n\n            # Left subtree must have values < node.val, right subtree must have values > node.val\n            return (\n                node.val is not None\n                and validate(node.left, low, node.val)\n                and validate(node.right, node.val, high)\n            )\n\n        return validate(root)', '# Test\n\ns = Solution()\n\nroot = TreeNode.from_list([2, 1, 3])\nassert s.isValidBST(root) == True\nroot = TreeNode.from_list([5, 1, 4, None, None, 3, 6])\nassert s.isValidBST(root) == False']"
"Given an m x n 2D binary grid representing a map of '1's (land) and '0's (water), return the number of islands formed by connecting adjacent lands horizontally or vertically.",Count number of islands,"Input: [['1','1','1','1','0'], ['1','1','0','1','0'], ['1','1','0','0','0'], ['0','0','0','0','0']] Output: 1; Input: [['1','1','0','0','0'], ['1','1','0','0','0'], ['0','0','1','0','0'], ['0','0','0','1','1']] Output: 3","1 <= m, n <= 300; grid[i][j] is '0' or '1'.",https://leetcode.com/problems/Number-of-Islands/,Number of Islands,Graph - General,"['class Solution:\n    # Time complexity: O(M * N) - Space complexity: O(M * N) from the call stack\n    def numIslands(self, grid: list[list[str]]) -> int:\n        # edge case\n        if not grid:\n            return 0\n\n        # get the number of rows and columns\n        rows, cols = len(grid), len(grid[0])\n\n        # count the number of islands\n        num_islands = 0\n\n        # dfs function\n        def dfs(row: int, col: int) -> None:\n            # base case: if the current cell is out of the grid (water) or is water\n            if (\n                row < 0\n                or col < 0\n                or row >= rows\n                or col >= cols\n                or grid[row][col] == ""0""\n            ):\n                return\n            # mark the current cell as visited\n            grid[row][col] = ""0""\n            # visit the neighbors\n            dfs(row + 1, col)  # down\n            dfs(row - 1, col)  # up\n            dfs(row, col + 1)  # right\n            dfs(row, col - 1)  # left\n\n        for row in range(rows):\n            for col in range(cols):\n                if grid[row][col] == ""1"":  # Found an unvisited cell\n                    num_islands += 1\n                    dfs(row, col)\n\n        return num_islands', '# Example 1\ngrid1 = [\n    [""1"", ""1"", ""1"", ""1"", ""0""],\n    [""1"", ""1"", ""0"", ""1"", ""0""],\n    [""1"", ""1"", ""0"", ""0"", ""0""],\n    [""0"", ""0"", ""0"", ""0"", ""0""],\n]\n\n# Example 2\ngrid2 = [\n    [""1"", ""1"", ""0"", ""0"", ""0""],\n    [""1"", ""1"", ""0"", ""0"", ""0""],\n    [""0"", ""0"", ""1"", ""0"", ""0""],\n    [""0"", ""0"", ""0"", ""1"", ""1""],\n]\n\ns = Solution()\n\noutput1 = s.numIslands(grid1)\noutput2 = s.numIslands(grid2)\n\noutput1, output2']"
"Given an m x n matrix board containing 'X' and 'O', capture all regions that are 4-directionally surrounded by 'X' by flipping all 'O's into 'X's in that surrounded region.",Capture surrounded regions in matrix,"Input: board = [['X', 'X', 'X', 'X'], ['X', 'O', 'O', 'X'], ['X', 'X', 'O', 'X'], ['X', 'O', 'X', 'X']]; Output: board = [['X', 'X', 'X', 'X'], ['X', 'X', 'X', 'X'], ['X', 'X', 'X', 'X'], ['X', 'O', 'X', 'X']]","1 <= m, n <= 200; board[i][j] is 'X' or 'O'.",https://leetcode.com/problems/Surrounded-Regions/,Surrounded Regions,Graph - General,"[""class Solution:\n    # DFS approach - Time complexity: O(m*n) - Space complexity: O(m*n)\n    def solve(self, board: list[list[str]]) -> None:\n        if not board:\n            return\n\n        rows, cols = len(board), len(board[0])\n\n        # Mark 'O's connected to boundary as '#'\n        def dfs(r, c):\n            if 0 <= r < rows and 0 <= c < cols and board[r][c] == 'O':\n                board[r][c] = '#'  # Mark as visited\n                dfs(r + 1, c)\n                dfs(r - 1, c)\n                dfs(r, c + 1)\n                dfs(r, c - 1)\n\n        # Mark from the boundary\n        for r in range(rows):\n            for c in range(cols):\n                # Check if it's a boundary 'O'\n                if (r in [0, rows - 1] or c in [0, cols - 1]) and board[r][c] == 'O':\n                    # Mark connected 'O's as '#'\n                    dfs(r, c)\n\n        # Replace surrounded 'O's with X's, restore marked 'O's by replacing '#' with 'O'\n        for r in range(rows):\n            for c in range(cols):\n                if board[r][c] == 'O':\n                    board[r][c] = 'X'\n                elif board[r][c] == '#':\n                    board[r][c] = 'O'"", '# Test Cases\n\nboard = [\n    [""X"", ""X"", ""X"", ""X""],\n    [""X"", ""X"", ""X"", ""X""],\n    [""X"", ""X"", ""X"", ""X""],\n    [""X"", ""O"", ""X"", ""X""],\n]\n\ns = Solution()\ns.solve(board)\n\nfor row in board:\n    print(row)']"
Create a deep copy of a connected undirected graph given an adjacency list.,Clone a connected graph,"Input: adjList = [[2,4],[1,3],[2,4],[1,3]]; Output: [[2,4],[1,3],[2,4],[1,3]]",0 <= Number of nodes <= 100; 1 <= Node.val <= 100; Node.val is unique; The graph is connected; No self-loops or repeated edges exist.,https://leetcode.com/problems/Clone-Graph/,Clone Graph,Graph - General,"['# Definition for a Node.\nclass Node:\n    def __init__(self, val = 0, neighbors: list[""Node""] | None = None):\n        self.val = val\n        self.neighbors = neighbors if neighbors is not None else []\n', 'from typing import Optional\n\n\nclass Solution:\n    def cloneGraph(self, node: Optional[Node]) -> Optional[Node]:\n        # hash map to store the original node and the cloned node\n        visited: dict[Node, Node] = {}\n\n        def dfs(node: Optional[Node]) -> Optional[Node]:\n            # Base case: handle null input\n            if not node:\n                return None\n\n            # Return existing copy if node already cloned\n            if node in visited:\n                return visited[node]\n\n            # create a new node\n            clone_node = Node(node.val)\n\n            # Mark the copy as visited\n            visited[node] = clone_node\n\n            # Recursively clone neighbors and link them\n            for neighbor in node.neighbors:\n                clone_node.neighbors.append(dfs(neighbor))\n\n            return clone_node\n\n        # Start cloning from the input node\n        return dfs(node)']"
What is the space complexity of using Depth-First Search (DFS) to solve the 'Evaluate Division' problem?,Space complexity of DFS,"Input: equations = [['a', 'b'], ['b', 'c']], values = [2.0, 3.0], queries = [['a', 'c'], ['b', 'a'], ['a', 'e'], ['a', 'a'], ['x', 'x']]. Output: [6.0, 0.5, -1.0, 1.0, -1.0]",E and Q can be up to 20.,https://leetcode.com/problems/Evaluate-Division/,Evaluate Division,Graph - General,"['from collections import defaultdict\n\n\nclass Solution:\n    def calcEquation(self, equations: list[list[str]], values: list[float], queries: list[list[str]]) -> list[float]:\n        # build graph from equations\n        graph: defaultdict[str, dict[str, float]] = defaultdict(dict)\n        for (a, b), value in zip(equations, values):\n            graph[a][b] = value\n            graph[b][a] = 1 / value\n\n        # function to find path from source to target\n        def dfs(source: str, target: str, visited: set[str]) -> float:\n            # edge case 1: source or target not in graph\n            if source not in graph or target not in graph:\n                return -1.0\n            # edge case 2: source == target\n            if source == target:\n                return 1.0\n\n            # mark source as visited\n            visited.add(source)\n\n            # iterate over neighbors of source\n            for neighbor, value in graph[source].items():\n                # skip if neighbor already visited\n                if neighbor in visited:\n                    continue\n                # mark neighbor as visited\n                visited.add(neighbor)\n                # recursive call\n                product = dfs(neighbor, target, visited)\n                # return if path found\n                if product != -1.0:\n                    return value * product\n\n            return -1.0\n\n        # iterate over queries\n        result: list[float] = []\n        for source, target in queries:\n            if source not in graph or target not in graph:\n                result.append(-1.0)\n            elif source == target:\n                result.append(1.0)\n            else:\n                result.append(dfs(source, target, set()))\n\n        return result']"
Can you finish all courses given prerequisites?,Course schedule completion check,"Input: numCourses = 2, prerequisites = [[1,0]]; Output: true","1 <= numCourses <= 2000; 0 <= prerequisites.length <= 5000; prerequisites[i].length == 2; 0 <= ai, bi < numCourses; All pairs in prerequisites[i] are unique.",https://leetcode.com/problems/Course-Schedule/,Course Schedule,Graph - General,"['from collections import deque\n\n\nclass Solution:\n    def canFinish(self, numCourses: int, prerequisites: list[list[int]]) -> bool:\n        # create a list to store the number of prerequisites for each course\n        in_degree = [0] * numCourses\n        # create an adjacency list to store the courses that can be taken\n        graph = [[] for _ in range(numCourses)]\n\n        # build the graph and in_degree list\n        for course, pre in prerequisites:\n            graph[pre].append(course)\n            in_degree[course] += 1\n\n        # create a queue to store the courses that can be taken - starting with the courses that have no prerequisites\n        queue = deque([i for i in range(numCourses) if in_degree[i] == 0])\n        # create a counter to keep track of the number of courses processed\n        visited = 0\n\n        # process the graph\n        while queue:\n            course = queue.popleft()\n            visited += 1\n            # reduce the number of prerequisites for the courses that can be taken\n            for c in graph[\n                course\n            ]:  # c is the course that can be taken - neighbors of the course\n                in_degree[c] -= 1\n                # add the course to the queue if it has no prerequisites\n                if in_degree[c] == 0:\n                    queue.append(c)\n\n        # if all the courses can be taken, return True\n        return visited == numCourses', 's = Solution()\n\nprint(s.canFinish(2, [[1, 0]]))  # Output: True\nprint(s.canFinish(2, [[1, 0], [0, 1]]))  # Output: False']"
"Given numCourses and prerequisites, find a valid order to complete all courses or return an empty array if impossible.",Course scheduling with prerequisites,"Input: numCourses = 2, prerequisites = [[1,0]]; Output: [0,1]","1 <= numCourses <= 2000; 0 <= prerequisites.length <= numCourses * (numCourses - 1); prerequisites[i].length == 2; 0 <= ai, bi < numCourses; ai != bi; All pairs [ai, bi] are distinct.",https://leetcode.com/problems/Course-Schedule-II/,Course Schedule II,Graph - General,"['from collections import deque\n\n\nclass Solution:\n    def findOrder(self, numCourses: int, prerequisites: list[list[int]]) -> list[int]:\n        # create a list to store the number of prerequisites for each course\n        in_degree = [0] * numCourses\n        # create an adjacency list to store the courses that can be taken\n        graph = [[] for _ in range(numCourses)]\n\n        # build the graph and in_degree list\n        for course, pre in prerequisites:\n            graph[pre].append(course)\n            in_degree[course] += 1\n\n        # create a queue to store the courses that can be taken - starting with the courses that have no prerequisites (in_degree = 0)\n        queue = deque([i for i in range(numCourses) if in_degree[i] == 0])\n        # create a list to keep track of the order of the courses that can be taken\n        topological_order: list[int] = []\n\n        # process the graph\n        while queue:\n            course = queue.popleft()\n            topological_order.append(course)\n            # reduce the number of prerequisites for the courses that can be taken (reduce the in_degree of neighbors)\n            for c in graph[\n                course\n            ]:  # c is the course that can be taken - neighbors of the course\n                in_degree[c] -= 1\n                # add the course to the queue if it has no prerequisites (in_degree = 0)\n                if in_degree[c] == 0:\n                    queue.append(c)\n\n        # if all the courses can be taken => Check if topological sorting is possible (i.e., no cycle)\n        if len(topological_order) == numCourses:\n            return topological_order\n        else:\n            return []', '# Test cases\ns = Solution()\n\ntest_cases = [(2, [[1, 0]]), (4, [[1, 0], [2, 0], [3, 1], [3, 2]]), (1, [])]\n\n[s.findOrder(numCourses, prerequisites) for numCourses, prerequisites in test_cases]']"
"Given an n x n board, determine the minimum number of moves to reach the last square, considering snakes and ladders.",Snakes and Ladders game,"Input: board = [[-1,-1],[-1,3]]; Output: 1","2 <= n <= 20; board[i][j] is either -1 or in the range [1, n^2]; squares 1 and n^2 do not have snakes or ladders.",https://leetcode.com/problems/Snakes-and-Ladders/,Snakes and Ladders,Graph - BFS,"[""from collections import deque\n\n\nclass Solution:\n    def snakesAndLadders(self, board: list[list[int]]) -> int:\n        n = len(board)\n\n        # Function to convert the square number to board indices\n        def get_position(square):\n            row = (square - 1) // n\n            col = (square - 1) % n\n            if row % 2 == 1:  # if the row is odd, reverse the order of columns\n                col = n - 1 - col\n            row = n - 1 - row  # reverse the row to start from the bottom\n            return row, col\n\n        # BFS setup\n        queue = deque([1])  # start BFS from square 1\n        visited = set([1])\n        moves: int = 0\n\n        # BFS loop\n        while queue:\n            size = len(queue)\n            for _ in range(size):\n                current = queue.popleft()\n                if current == n * n:  # reached the last square\n                    return moves\n                # Explore the next moves for dice rolls from 1 to 6\n                for dice_roll in range(1, 7):\n                    next_square = current + dice_roll\n                    if (\n                        next_square > n * n\n                    ):  # skip if next square is beyond board limits\n                        continue\n                    r, c = get_position(next_square)\n                    # If there is a snake or ladder, take it\n                    if board[r][c] != -1:\n                        next_square = board[r][c]\n\n                    if next_square not in visited:\n                        visited.add(next_square)\n                        queue.append(next_square)\n            moves += 1\n\n        # If it's not possible to reach the last square\n        return -1"", '# Test the implementation\n\ns = Solution()\n\nboard_example1 = [\n    [-1, -1, -1, -1, -1, -1],\n    [-1, -1, -1, -1, -1, -1],\n    [-1, -1, -1, -1, -1, -1],\n    [-1, 35, -1, -1, 13, -1],\n    [-1, -1, -1, -1, -1, -1],\n    [-1, 15, -1, -1, -1, -1],\n]\nboard_example2 = [[-1, -1], [-1, 3]]\n\n# Execute test cases\noutput1 = s.snakesAndLadders(board_example1)  # Expected output: 4\noutput2 = s.snakesAndLadders(board_example2)  # Expected output: 1\n\noutput1, output2']"
